true_key,true_condition,pred_key,pred_condition,confidence,exact_correct,group_correct
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.736,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.84,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.791,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.737,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.697,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.716,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.787,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.777,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.742,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.894,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.714,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.777,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.763,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.861,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.874,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.67,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.798,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.65,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.85,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.915,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.777,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.831,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.683,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.672,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.663,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.76,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.708,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.859,1,1
lung_cancer,Lung Cancer,ketoacidosis,Ketoacidosis,0.644,0,0
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.646,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.849,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.746,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.707,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.698,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.815,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.738,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.755,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.854,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.887,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.864,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.615,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.75,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.709,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.731,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.703,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.817,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.73,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.897,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.677,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.707,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.688,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.725,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.667,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.677,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.784,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.644,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.708,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.725,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.814,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.738,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.723,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.793,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.757,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.669,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.732,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.715,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.905,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.739,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.678,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.634,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.756,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.704,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.675,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.591,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.852,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.779,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.685,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.833,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.674,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.723,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.754,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.773,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.704,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.785,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.668,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.722,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.847,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.74,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.79,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.881,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.818,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.831,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.715,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.826,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.888,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.747,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.716,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.716,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.873,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.64,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.754,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.696,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.797,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.827,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.723,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.804,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.773,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.752,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.762,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.718,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.709,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.725,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.751,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.752,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.688,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.726,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.788,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.674,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.76,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.836,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.661,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.863,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.605,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.72,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.768,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.762,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.639,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.731,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.791,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.789,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.816,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.646,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.718,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.781,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.743,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.714,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.679,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.735,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.721,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.74,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.675,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.669,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.699,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.818,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.889,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.723,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.728,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.795,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.754,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.765,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.79,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.735,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.696,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.755,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.75,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.722,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.85,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.674,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.769,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.714,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.787,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.76,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.589,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.808,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.769,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.67,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.703,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.82,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.887,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.783,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.899,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.738,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.755,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.722,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.894,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.786,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.676,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.81,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.654,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.673,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.591,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.663,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.731,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.842,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.732,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.725,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.796,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.747,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.77,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.783,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.697,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.764,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.751,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.744,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.705,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.845,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.813,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.592,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.744,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.838,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.702,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.778,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.696,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.666,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.729,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.728,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.755,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.809,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.727,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.798,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.759,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.654,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.705,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.762,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.753,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.759,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.724,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.709,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.791,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.808,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.755,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.759,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.713,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.722,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.669,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.74,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.622,1,1
lung_cancer,Lung Cancer,prostate_cancer,Prostate Cancer,0.691,0,0
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.729,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.789,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.644,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.86,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.622,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.705,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.797,1,1
lung_cancer,Lung Cancer,lung_cancer,Lung Cancer,0.72,1,1
